DENOMINAZIONESITOLOGISTICO,INDIRIZZO,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,LATITUDINE,LONGITUDINE
Parafarmacia Veterinaria di Lo Presti Riccardo,"Via del santuario, 16",5108480871,95036,RANDAZZO,CT,CATANIA,"37,876058","14,949681"
PARAFARMACIA SAN PIO,"Via NAZIONALE, 2",2021380858,93010,VALLELUNGA PRATAMENO,CL,CALTANISSETTA,"37,682047","13,83156"
Parafarmacia Lo Iacono,"Via Benedetto Caputo, 71",3420310835,98070,TORRENOVA,ME,MESSINA,"38,09376","14,679973"
RAO FARMACEUTICI SRL,"Viale RAFFAELLO SANZIO, 24",6349600822,95128,CATANIA,CT,CATANIA,"37,5220986","15,0914634"
Farmanatura s.a.s.,"Corso Umberto I, 158",1092450889,97015,MODICA,RG,RAGUSA,"36,8589123","14,7613206"
EASYPHARMA DI R.DELIA,"Via NAZIONALE, 223",3208060834,98070,CAPRI LEONE,ME,MESSINA,"38,1041742","14,7021385"
BIELLE SUPERMERCATI S.R.L.,Contrada TRIGLIA SCALETTA,2567200817,91020,PETROSINO,TP,TRAPANI,"37,7114955","12,4899602"
BIELLE SUPERMERCATI S.R.L.,Contrada TRIGLIA SCALETTA,2567200817,91020,PETROSINO,TP,TRAPANI,"37,7114955","12,4899602"
VI.DA.SRL,Via Tica,1746350899,96100,SIRACUSA,SR,SIRACUSA,"37,0835005","15,2858115"
Parafarmacia Dott.Antonio Pirrera,"Contrada marcellino, sn",1550890899,96013,CARLENTINI,SR,SIRACUSA,"37,2760087","15,0148603"
Parafarmacia PoseidonIn,"Contrada ciachea, snc",6375060826,90044,CARINI,PA,PALERMO,"38,131172","13,1818847"
BioShop,"Via Milano, 94/B",5259060878,95127,CATANIA,CT,CATANIA,"37,5172033","15,0952801"
PARAFARMACIA DOTT. DI MARI ANTONINO,"Via FEDERICO DI SVEVIA, 28",1589680899,96016,LENTINI,SR,SIRACUSA,"37,285448","14,999589"
st.s. s.r.l.,"Via vincenzo giuffrida, 184",2792510832,95127,CATANIA,CT,CATANIA,"37,524912","15,091126"
PARAFARMACIA DOTT. EMMANUELLO CROCIFISSO,"Via RECANATI, 229",1953740857,93012,GELA,CL,CALTANISSETTA,"37,074692","14,24225"
Parafarmacia Dr Giancarlo Rizza,"Piazza mons Francesco Pennisi, 2",1586110882,97100,RAGUSA,RG,RAGUSA,"36,927237","14,712802"
PARAFARMACIA DI PORTELLI CARMELO,"Via COLOMBO, 37",1593110883,97018,SCICLI,RG,RAGUSA,"36,783491","14,905127"
centro guadagna,"Via villagrazia, 77",3959610829,90125,PALERMO,PA,PALERMO,"38,0862499","13,3467499"
PHARMANATURAL,"Viale SANTA PANAGIA, 18",1788230892,96100,SIRACUSA,SR,SIRACUSA,"37,0837773","15,2800669"
D'ANNA FRANCESCA,"Via CRISTOFORO COLOMBO, 09",6401590820,90019,TRABIA,PA,PALERMO,"38,006451","13,633552"
Amica Natura,"Via Umberto I, 143",3280560834,98027,ROCCALUMERA,ME,MESSINA,"37,9753902","15,394829"
parafarmacia dott.ssa Fotia Laura,"Viale della Resistenza, 35",1052220884,97013,COMISO,RG,RAGUSA,"36,9500701","14,6064416"
PARAFARMACIA BIANCAVILLA,Contrada CIANCIANELLA,5368500871,95033,BIANCAVILLA,CT,CATANIA,"37,6463083","14,8616616"
Vivisalute C. Sicilia,"Contrada Cubba - Tenutella, sn",5548290872,95045,MISTERBIANCO,CT,CATANIA,"37,5191722","15,0079363"
Parafarmacia Sant'Andrea,"Via SAN GAETANO, 72",1786130854,93017,SAN CATALDO,CL,CALTANISSETTA,"37,488445","13,993065"
Futur Pharma Srl s,"Via Leonardo Da Vinci, 77",5296670879,95024,ACIREALE,CT,CATANIA,"37,6127773","15,1658804"
SICIL PHARMA S.R.L.,"Viaaccorciatoia VITTORIO EMANUELE III, 46/48",5355200873,95032,BELPASSO,CT,CATANIA,"37,570952","14,902683"
NUOVA PARAFARMACIA DELLA D.SSA SETTENERI MARIA,"Via NUOVA DEL CONVENTO, 65",5298070870,95017,PIEDIMONTE ETNEO,CT,CATANIA,"37,8068461","15,1790849"
Parafarmacia - Dott. G. Aquila -,"Via pozzallo, 79",1587630888,97010,RAGUSA,RG,RAGUSA,"36,7855066","14,5555647"
PARAFARMACIA,Via ERNESTO VASSALLO,1960820858,93100,CALTANISSETTA,CL,CALTANISSETTA,"37,4799356","14,0560181"
PARAFARMACIA IGEA DI MONCADA ANGELA E MORELLO MARICA SNC,Via GIAN MARIA VOLONTE',1961130851,93012,GELA,CL,CALTANISSETTA,"37,0664363","14,2502445"
ADELPHI SNC DI STEFANIA E MARIA CHIARA REQUIREZ,"Contrada BOSCO, 465",2595120813,91025,MARSALA,TP,TRAPANI,"37,8487085","12,5024395"
Parafarmacia Dott.ssa Josephine Scandura,"Viale Europa, 2B",5279370877,95041,CALTAGIRONE,CT,CATANIA,"37,216993","14,5190595"
parafarmacia scopelliti nunzia,"Via nazionale mili marina, 217/219",3383120833,98131,MESSINA,ME,MESSINA,"38,097988","15,5042717"
BENESSERE E SALUTE S.r.L. S.,"Via Via Massimo D'Azeglio, 62",5308120871,95014,GIARRE,CT,CATANIA,"37,7244887","15,1887049"
Pollina Anna,"Via XX SETTEMBRE ANGOLO VIA CARACCI, 68",2405980810,91022,CASTELVETRANO,TP,TRAPANI,"37,683399","12,7861345"
Parafarmacia Ruggero Settimo,"Via Generale Magliocco, 54/56",6614150826,90141,PALERMO,PA,PALERMO,"38,1212224","13,3558605"
HobbyZoo,"Viale Vittorio Veneto, 271",784230872,95127,CATANIA,CT,CATANIA,"37,525174","15,0956854"
PARAFARMACIA LA MALFA GIUSI,"Via TENENTE MINNITI, 90",3335640839,98057,MILAZZO,ME,MESSINA,"38,2156255","15,2364932"
Parafarmacia Galimberti,"Via Duccio Galimberti, 21",5324150878,95045,MISTERBIANCO,CT,CATANIA,"37,520381","15,0046367"
GIUSEPPINA INSALACO PARAFARMACIE DOT,"Viale dell Vittoria, 14-16",2812740849,92024,CANICATTI',AG,AGRIGENTO,"37,3585482","13,8508625"
Parafarmacia,"Via del mare ang.via I maggio, 74",3385950831,98050,TERME VIGLIATORE,ME,MESSINA,"38,1358656","15,1633873"
Parafarmacia Dott. Germano Pierpaolo,"Via Albert Einstein, 25/A",1577560897,97013,COMISO,RG,RAGUSA,"36,9525615","14,6040733"
Vass.Azzar.Sas di Vassallo Massimiliano & C.,"Via Carlo Pisacane, 6/a-b",6487430826,90127,PALERMO,PA,PALERMO,"38,1094282","13,3639879"
BABYSAN DELLA DOTT.SSA GRUTTADAURIA GLORIA,Via FRATELLI ROSSELLI,2821390842,92023,CAMPOBELLO DI LICATA,AG,AGRIGENTO,"37,2588435","13,917697"
parafarmacia dott.ssa Marchesini srl,"Corso cavour, 62",2886810833,98122,MESSINA,ME,MESSINA,"38,1909459","15,5526293"
Parafarmacia San'Antonio,"Via Umberto, 62",1885790897,95035,MALETTO,CT,CATANIA,"37,8286922","14,8660035"
PARAFARMACIA SANTA ROSALIA DEL DOTT. CAVALLARO FRANCESCO &amp; C. S.N.C.,"Via Stefano Bilardello, 11",6438060821,90128,PALERMO,PA,PALERMO,"38,09622","13,34902"
parafarmaciacrapiosrl,"Via Venezia, 1",3405180831,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8203872","15,2514288"
parafarmacia,"Piazza duca di camastra, 4",5356320878,95100,CATANIA,CT,CATANIA,"37,5338009","15,020732"
SICIL PHARMA S.R.L.,"Via FIUME, 127",5355200873,95032,BELPASSO,CT,CATANIA,"37,595968","14,980322"
ANCONA E MAIORANA SNC,"Via VITO SICOMO, 1",552210817,92010,LAMPEDUSA E LINOSA,AG,AGRIGENTO,"35,5074087","12,6043996"
Punto Salute,"Via zecchino c/o marispica, snc",1624060883,97014,ISPICA,RG,RAGUSA,"36,788137","14,9101565"
Muscolino Vincenza,"Via Umberto I, 681",3407050834,98027,ROCCALUMERA,ME,MESSINA,"37,9816906","15,4000101"
PARAFARMAVET S.R.L.S.,"Via PRINCIPE DI PALAGONIA, 12",6502820829,90145,PALERMO,PA,PALERMO,"38,1339655","13,3364158"
PARAFARMACIA CASTELFORTE,"Via CASTELFORTE, 101",6804080825,90146,PALERMO,PA,PALERMO,"38,179393","13,3251881"
PARAFARMACIA DOTT.SSA R. DI DIDIO,"Via DANTE, 326-328",6457730825,90141,PALERMO,PA,PALERMO,"38,1217459","13,3425297"
Parafarmacia del Tindari soc.coop.,"Via nazionale, 213",3354920831,98060,FALCONE,ME,MESSINA,"38,117049","15,0797443"
PHYTOSOPHYA,"Viale EUROPA, 207",3242120834,98124,MESSINA,ME,MESSINA,"38,1832798","15,5425061"
FARMANOVA DOTT. SAVARINO GIUSEPPE,"Via NAZIONALE, 202",1485130882,97015,MODICA,RG,RAGUSA,"36,855282","14,761455"
PARAFARMACIA DOTT.SSA CABIBBO ANTONELLA,"Via Mariannina Schininà, 179-181",1626270886,97100,RAGUSA,RG,RAGUSA,"36,925989","14,721803"
Omnifarma srl,"Via Luigi Orlando, 148/150",5030930878,95014,GIARRE,CT,CATANIA,"37,721046","15,1777518"
Il Melograno di Maria Neri,"Via Vittorio Emanuele, 110",5374550878,95033,BIANCAVILLA,CT,CATANIA,"37,6409237","14,8712191"
PARAFARMACIA ACI TREZZA SRL SEMPLIFICATA,"Via PROVINCIALE, 72",5381540870,95021,ACI CASTELLO,CT,CATANIA,"37,561111","15,159768"
rosario santoro,"Via Guglielmo Marconi, 105",3293100875,95030,PEDARA,CT,CATANIA,"37,617889","15,0643828"
FARMA ZOO SERVICE PARAFARMACIA VETERINARIA,"Via FRANCESCO PAOLO DI BLASI, 18",6439220820,90144,PALERMO,PA,PALERMO,"38,13935","13,34402"
Parafarmacia Ai Portici,"Corso Italia, 310/312",5609410872,95129,CATANIA,CT,CATANIA,"37,5164563","15,1048788"
PARAPHARMACIE SRL,"Viale IONIO, 112",1215210079,95129,CATANIA,CT,CATANIA,"37,5141839","15,1020924"
PARAFARMACIA DOTT.SSA PAGANO ANTONINA,"Via FRANCESCO RISO, 58",2700880871,95128,CATANIA,CT,CATANIA,"37,515069","15,090235"
KARMA PARAFARMACIA,"Via Della Provincia, 5",1219110861,94100,ENNA,EN,ENNA,"37,565467","14,268732"
PARAFARMACIA CANTO,"Via VITTORIO VENETO, 24",1634820888,97014,ISPICA,RG,RAGUSA,"36,786945","14,908829"
FARMAMED DI CARLO DI FEDE,"Via GIUSEPPE ALESSI, 16/D",6539670825,90143,PALERMO,PA,PALERMO,"38,140079","13,349506"
Hobbyzoo,"Via Messina, 623/627",5474350872,95126,CATANIA,CT,CATANIA,"37,5343727","15,1152449"
Igeapharm,"Via Gaspare Palermo, 61",6532104826,90127,PALERMO,PA,PALERMO,"38,1053488","13,3636207"
PARAFARMACIA LE SOURIRE,"Viale IONIO, 112",5164130873,95129,CATANIA,CT,CATANIA,"37,5141839","15,1020924"
SaluteInFarma di Cicchetti Claudio,"Via Gianforma Ponte Margione, 12 bis/ 3 e 4",1598550885,97015,MODICA,RG,RAGUSA,"36,8588214","14,7608121"
Parafarmacia Dell'Immacolata,"Via Umberto, 183",4747780874,95027,SAN GREGORIO DI CATANIA,CT,CATANIA,"37,5700497","15,1145008"
MOSCATO EUGENIA,"Via ARMANDO DIAZ, 2",4497970873,95046,PALAGONIA,CT,CATANIA,"37,3330786","14,7416668"
PARAFARMACIA ETNEA DI LUCCA VERONICA,"Via ETNEA, 684",5395250870,95128,CATANIA,CT,CATANIA,"37,522204","15,0827891"
PARAFARMACIA NAZIONALE Della Dott.ssa Francesca Parrino,"Via P. Vincenzo Tirendi, 2A",5434980875,95016,MASCALI,CT,CATANIA,"37,7485154","15,192988"
PARAFARMACIA SANTA BARBARA,"Piazza SANTA BARBARA, 5",5437410870,95030,RAGALNA,CT,CATANIA,"37,6303404","14,9392288"
PARAFARMACIA DR.PIETRO FERRANTELLI,"Via FALCONE E BORSELLINO, 26",5554650829,90035,MARINEO,PA,PALERMO,"37,95174415","13,41631076"
Officina del benessere s.r.l.,"Via Luigi Monaco, 12",1749090856,93100,CALTANISSETTA,CL,CALTANISSETTA,"41,9027835","12,4963655"
Natura & Bio di Tambato Antonio,"Via libertà, 37",2024130839,98042,PACE DEL MELA,ME,MESSINA,"38,201103","15,315945"
FARMEDI S.R.L.,"Corso SAVOIA, 28",4905510873,95024,ACIREALE,CT,CATANIA,"37,6143924","15,1654389"
PARAFARMACIA DEL CENTRO,"Piazza MATTEOTTI, 7",3459150839,98071,CAPO D'ORLANDO,ME,MESSINA,"38,161591","14,745702"
PARAFARMACIA SCOLARO GIUSEPPE,"Via CENTONZE, 159",3459810838,98123,MESSINA,ME,MESSINA,"38,1843396","15,5521145"
parafarmaciaisola srls,"Via lido sacramento, 214",1915560898,96100,SIRACUSA,SR,SIRACUSA,"37,0343734","15,2794176"
PARAFARMACIA 21 APRILE,"Via VICENZA, 67",5905880877,95127,CATANIA,CT,CATANIA,"37,5197925","15,0963258"
SOPHYCHRI SRLS,"Via XX SETTEMBRE ANGOLO VIA CARACCI, 1",2644860815,91022,CASTELVETRANO,TP,TRAPANI,"41,9027835","12,4963655"
PARAFARMACIA FARMA BENESSERE DEL DOTT. SERGIO PARRINO,"Via NAZIONALE, 79",6598580824,90045,CINISI,PA,PALERMO,"38,16402623","13,10511047"
covital s.r.l.s,"Via a.manzoni, 63",5466440871,95041,CALTAGIRONE,CT,CATANIA,"37,222793","14,523348"
PARAFARMACIA FICHERA,"Via Casarsa, 42/B",3467680835,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8269069","15,2676652"
PARAFARMACIA FICHERA,"Via Jannuzzo, 37/B",3569750833,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8177577","15,2664303"
PARAFARMACIA NUTRIPARAVET DELL DOTT. GIULIO SCIOTTO,"Viale DELLA REGIONE, 47",5468510879,95029,VIAGRANDE,CT,CATANIA,"37,6083531","15,0960303"
PARAFARMACIA SAN PIO,"Via G. D'ANNUNZIO, 48",1243720867,94015,PIAZZA ARMERINA,EN,ENNA,"37,392702","14,372145"
parafarmacia villaggio marispica,"Via zecchino, snc",1324350881,97014,ISPICA,RG,RAGUSA,"36,7114072","14,95193124"
FARMA SERVIZI,"Viale ZECCHINO, 80",1925770891,96100,SIRACUSA,SR,SIRACUSA,"37,086021","15,2849734"
IGEAPHARM,"Via GASPARE PALERMO, 61",6532140826,90127,PALERMO,PA,PALERMO,"38,105342","13,3636055"
parafarmacia viola,Stradastatale ss 113,3905220822,90045,CINISI,PA,PALERMO,"38,16148048","13,10344851"
La Tua Parafarmacia di Ylenia Maria Amordeluso,"Via Umberto I, 162",3587140835,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8402138","15,2765877"
parafarmacia sparacino francesca,"Via iditella, snc",3470640834,98050,LIPARI,ME,MESSINA,"38,63319971","15,0763733"
PARAFARMACIA RABBONE S.R.L.S.,"Via Aluntina, 22-24",3420310835,98070,SAN MARCO D'ALUNZIO,ME,MESSINA,"38,072505","14,698969"
parafarmaciaviola,"Stradastatale ss113, s.n.c.",3905220822,90045,CINISI,PA,PALERMO,"38,16188506","13,10269833"
EGITTO FRANCESCO,"Via PRINCIPE UMBERTO, IS.230 49/A",3448420830,98122,MESSINA,ME,MESSINA,"38,194468","15,5462132"
PARAFARMACIA,"Corso PALERMO TONNARELLA, 144",1827060839,98054,FURNARI,ME,MESSINA,"38,1260084","15,1154285"
parafarmacia salmeri marina,"Via duca degli abruzzi, 54/a",5083490879,95126,CATANIA,CT,CATANIA,"37,5225347","15,1013006"
Parafarmacia BeZone Srl - Società Benefit,"Via Crispi, 227/229",5954210877,95131,CATANIA,CT,CATANIA,"37,5125551","15,0938395"
conad superstore,"Viale giostra, snc",5648730827,98121,MESSINA,ME,MESSINA,"38,2071996","15,5585089"
farmaservice parafarmacia veterinaria,"Via la malfa, 10",6608240823,90146,PALERMO,PA,PALERMO,"38,15660199","13,31844717"
farmaservice parafarmacia veterinaria,"Via Francesco Paolo Di Blasi, 18",6608240823,90144,PALERMO,PA,PALERMO,"38,139875","13,34510028"
CENTRO PICASSO,"Via DE GASPERI, 257",3959610829,90039,VILLABATE,PA,PALERMO,"38,0838114","13,4496527"
2C Pharma sas di Contartese Giuseppe & c,"Via salvatore cattafi, 31",3174590830,98058,BARCELLONA POZZO DI GOTTO,ME,MESSINA,"38,149623","15,221288"
POLIGIULIA SOCIETA'COOPERATIVA,"Via empedocle restivo, 80",6586350826,90100,PALERMO,PA,PALERMO,"38,1449629","13,3352094"
Parafarmacia Natura & Benessere,"Via Vittorio Veneto, 22",3469050839,98071,CAPO D'ORLANDO,ME,MESSINA,"38,162829","14,7469766"
FARMA.TECH SRL,"Via Pablo Picasso, 12",1636350884,97015,MODICA,RG,RAGUSA,"36,8322111","14,7664594"
PARAFARMACIA D'ANNUNZIO,"Largo PASCOLI, 3-4-5",5609410872,95128,CATANIA,CT,CATANIA,"37,5176792","15,0908029"
parafarmacia trieste,"Via trieste, 33",5510390874,95127,CATANIA,CT,CATANIA,"37,5174968","15,1009151"
Parafarmacia Federico II della Dott.ssa Spasari Maria Stella,"Viale Epicarmo Corbino, 41",1335870893,96011,AUGUSTA,SR,SIRACUSA,"37,257412","15,227042"
FARMACAPP DEL DOTT CAPPELLANI ALDO,"Via SIRACUSA, 72",1952590899,96012,AVOLA,SR,SIRACUSA,"36,9130665","15,1413517"
BENESSERE NATURA PARAFARMACIA,"Via C. COLOMBO, 54/56",3505670830,98066,PATTI,ME,MESSINA,"38,1517094","14,9700696"
PARAFARMACIA PIU' SALUTE,"Corso ITALIA, 131",5541410873,95024,ACIREALE,CT,CATANIA,"37,619202","15,15975"
PARAFARMACIA DEL CORSO DI G&S S.R.L.,"Corso UMBERTO, 244",1270960865,94013,LEONFORTE,EN,ENNA,"37,639286","14,392333"
lunifarma,"Via M.R.Imbriani, 221",5533000872,95128,CATANIA,CT,CATANIA,"37,5202077","15,0881808"
NANUK SRL,"Via UMBERTO, 217",5543230873,95129,CATANIA,CT,CATANIA,"37,512421","15,094449"
PARAFARMACIA LIOTTA S.N.C. D.SSE CLELIA E LIDIA LO BALBO,"Via Generale Di Giorgio, 56",2135620835,98070,ACQUEDOLCI,ME,MESSINA,"38,0573231","14,5902612"
parafarmacia recanati,"Via jannuzzo, 37",3516030834,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8177714","15,2664407"
Parafarmacia Tavormina,Lungomare Giacomo Hopps,2693960813,91026,MAZARA DEL VALLO,TP,TRAPANI,"37,6478305","12,5953995"
PARAFARMACIA MAYMONE DI ANGELO GIOVANNI LEONE & C S.N.C.,"Viale LAZIO, 60/C-62-62/A",6741410820,90144,PALERMO,PA,PALERMO,"38,1411591","13,3356723"
PARAFARMACIA FARMAFAMILY,Contrada MARCELLINO C\O LA VELA,1874730896,96013,CARLENTINI,SR,SIRACUSA,"41,9027835","12,4963655"
farmachl di Vittini Mariaconcetta,"Via Giovanni Pascoli, 70b",1878130895,96018,PACHINO,SR,SIRACUSA,"36,71447","15,080828"
PARAFARMACIA GUAGLIARDO SAS,"Via Lungarini, 16/18",6256920825,90014,CASTELDACCIA,PA,PALERMO,"38,054288","13,530653"
Mondo di alice,"Via siculo orientale, 125",4567830874,95016,MASCALI,CT,CATANIA,"37,7544839","15,1952135"
parafarmacia Malica,Contrada Malpertuso c7oCentro commerciale LA FILANDA,3515810830,98061,BROLO,ME,MESSINA,"38,155825","14,8187871"
parafarmacia alcantara,"Piazza vittorio emanuele, 4",3516030834,98030,GAGGI,ME,MESSINA,"37,8601276","15,2216843"
Parafarmacia Naxion,"Via casarsa, 42",3516030834,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8269069","15,2676652"
parafarmacia laurus,"Via san silvestro, 1",1257480861,94018,TROINA,EN,ENNA,"37,78585655","14,5951772"
PARAFARMACIA SALUTE E BENESSERE,"Largo TRINACRIA, 4/5",6003800825,90144,PALERMO,PA,PALERMO,"38,1467516","13,3383057"
GIA.SVE.SRL,"Via ALDEBARAN, 22",5580600871,95127,CATANIA,CT,CATANIA,"37,521737","15,1106168"
Parafarmacia Dott.ssa Miriam Cristofaro,"Corso Vittorio Emanuele, 81",4758100871,95042,GRAMMICHELE,CT,CATANIA,"37,2114846","14,6393072"
la terra pirrè rosa,"Via roma, 354",1130000886,97019,VITTORIA,RG,RAGUSA,"36,9476783","14,5273517"
PARAFARMACIA LUCCHESI ELENA,"Via REGINA MARGHERITA, 129",2936660832,98028,SANTA TERESA DI RIVA,ME,MESSINA,"37,9469364","15,3688548"
ESSENTIAL,"Riva Garibaldi, 10",1940940891,96100,SIRACUSA,SR,SIRACUSA,"37,0635408","15,2906559"
PARAFARMACIA BAARIA S.R.L.,"Via AMERIGO VESPUCCI, 13-15",6699080823,90011,BAGHERIA,PA,PALERMO,"38,0800241","13,5134535"
PARAFARMACIA DI SAN GIUSEPPE,"Via PRINCIPE DI PIEMONTE, 29",5753040871,95048,SCORDIA,CT,CATANIA,"37,295836","14,8440359"
parafarmacia schisò,"Via zara, 15",3537260832,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8257134","15,2678337"
BL VET,"Via TERRASANTA, 20-22",6730090823,90141,PALERMO,PA,PALERMO,0,0
FARMISSIMA WELLNESS,"Via PRIMO SETTEMBRE, 116",3527270833,98122,MESSINA,ME,MESSINA,0,0
FARMALANDA S.R.L.,"Via Vincenzo Generale Streva, 4",6732100828,90143,PALERMO,PA,PALERMO,-,-
parafarmacia dott.ssa Barbera,"Via via giallonghi, 9",2449420815,91022,CASTELVETRANO,TP,TRAPANI,0,0
Parafarmacia del benessere del dottor Diego Sgroj,"Via UMBERTO I, 427",3538050836,98026,NIZZA DI SICILIA,ME,MESSINA,-,-
PARAFARMACIA DOTT.SSA MELANIA DI PIAZZA,"Via VENEZIA, 39",2645580842,92022,CAMMARATA,AG,AGRIGENTO,-,-
