INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONETIPOLOGIA,LATITUDINE,LONGITUDINE
"Via EUGENIO L'EMIRO, 34/36",VERGA SRL,6654320826,90135,PALERMO,PA,PALERMO,Ordinaria,"45,75803406","8,376775811"
"Via Porta Palermo,61",Gattuso Renato,1709960841,92010,BIVONA,AG,AGRIGENTO,Ordinaria,"37,57788911","13,40528909"
"Via Cesare Battisti, 21",Farmacia Imbornone Francesco Dei Dottori Aurelio E Lilla Imbornone S.n.c.,2621410840,92022,CAMMARATA,AG,AGRIGENTO,Ordinaria,"37,63052936","13,69455864"
"Via Vittorio Emanuele, 170",Brancato Calogero,306500844,92023,CAMPOBELLO DI LICATA,AG,AGRIGENTO,Ordinaria,"37,256939","13,918198"
"Salita Convento, 42",Contissa Maria Rosa,97110845,92012,CIANCIANA,AG,AGRIGENTO,Ordinaria,"37,49545522","13,42146646"
"Corso Roma, 3",Gagliano Giuseppina & C.snc,2765280843,92027,LICATA,AG,AGRIGENTO,Ordinaria,"37,15445221","13,91888255"
"Corso Umberto, 3",Fregapane Giuseppina,1708880842,92027,LICATA,AG,AGRIGENTO,Ordinaria,"37,101742","13,937628"
"Corso Vittorio Emanuele, 44",Platamone Della Dr.ssa Mallia Ornella Anna Maria,2659320846,92027,LICATA,AG,AGRIGENTO,Ordinaria,"37,15445221","13,91888255"
"Via Vittorio Emanuele, 29",San Caloiru Picciulu Sas Di D'Anna Assunta,413990839,92028,NARO,AG,AGRIGENTO,Ordinaria,"37,2947224","13,7949651"
"Via Piave, 182",Principato Salvatore Del Dott. Emiliano Cirami,2625430844,92028,NARO,AG,AGRIGENTO,Ordinaria,"37,28936047","13,82142015"
"Via Roma, 86",Terrana Mario,589080845,92014,PORTO EMPEDOCLE,AG,AGRIGENTO,Ordinaria,"37,31044113","13,50704362"
"Via Garibaldi, 246",Antogna Snc Di Antogna Concetta E Antogna Sciascia Teresa,2317890842,92020,RACALMUTO,AG,AGRIGENTO,Ordinaria,"37,40309238","13,75053715"
"Corso Umberto I, 89",Miceli Antonino,170860845,92017,SAMBUCA DI SICILIA,AG,AGRIGENTO,Ordinaria,"37,65551145","13,11391199"
"Via Liberta', 91",Serra Dott. Giuseppe,2709250845,92018,SANTA MARGHERITA DI BELICE,AG,AGRIGENTO,Ordinaria,"37,6912922","13,02560312"
"Via G. Licata, 143",Tagliavia Francesco,132860842,92019,SCIACCA,AG,AGRIGENTO,Ordinaria,"37,54354442","13,10280935"
"Via Via Roma, 180",FARMACIA SCIORTINO S.R.L.,2954700841,92010,SICULIANA,AG,AGRIGENTO,Ordinaria,"37,36022863","13,3872871"
"Via Vittorio Emanuele, 103",Cascioferro Di Bruccoleri Gaetano,2428360842,92020,VILLAFRANCA SICULA,AG,AGRIGENTO,Ordinaria,"37,56518347","13,28079579"
"Via Regione Siciliana, 1",Russo Angelo,120220843,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,"37,32219769","13,56610079"
"Via Via Giovanni Battista Peruzzo, 11",FARMACIA VALLE DEI TEMPLI SRL UNI,2901360848,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,"37,26457367","13,58034043"
"Via Fosse Ardeatine, 3",Farmacia Moribondo snc,3062530849,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,"37,296695","13,55049056"
"Via Palma, 7",Licata Snc Del Dottor Licata Alfonso & C.,2602120848,92027,LICATA,AG,AGRIGENTO,Ordinaria,"37,15445221","13,91888255"
"Via Milano, 30",Guaia Sas Di Rosa Daniela Guaia,2344040841,92014,PORTO EMPEDOCLE,AG,AGRIGENTO,Ordinaria,"37,29105164","13,5249106"
"Via Capitano A. Callea, 72",Maratta Snc Di Maratta Salvatore E Maratta Pier Luigi,2447670841,92026,AGRIGENTO,AG,AGRIGENTO,Ordinaria,"37,319587","13,6615389"
"Via Guglielmo Marconi, 56",Scaduto Maurizio & C. Snc,1871630842,92010,SICULIANA,AG,AGRIGENTO,Ordinaria,"37,36022863","13,3872871"
"Via GIUSEPPE LICATA, 247",FARMACIA VIA LICATA SRLS UNIPERSONALE,2940750843,92019,SCIACCA,AG,AGRIGENTO,Ordinaria,"37,54354442","13,10280935"
Piazza Primavera Fontanelle,Bajo Ettore,1911170841,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,"37,3312586","13,5912159"
"Via Principe Di Napoli, 62",Attardo Maria,1946740840,92020,COMITINI,AG,AGRIGENTO,Ordinaria,"37,407941","13,642959"
"Largo S.giuseppe, 4",Amorelli Dott. Pietro,1969410842,92025,CASTELTERMINI,AG,AGRIGENTO,Ordinaria,"37,5405168","13,6410714"
"Viale della Vittoria, 118",Farmacia Sciortino srl,2954700841,92010,MONTALLEGRO,AG,AGRIGENTO,Ordinaria,"37,38871292","13,35215233"
"Corso Roma, 98/98a",Gagliano Gaetano E C. Snc,2013900846,92027,LICATA,AG,AGRIGENTO,Ordinaria,"37,104322","13,9359224"
"Via Cesare Battisti, 6",Ragusa Federica,2849640848,92010,CALAMONACI,AG,AGRIGENTO,Ordinaria,"37,51825785","13,3227302"
"Via Ugo La Malfa, 46/n (Pal. Sciara)",Sammartino Raimondo,2076820840,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,"37,3110897","13,5765475"
"Via Vittorio Emanuele, 84",Amato Lilly,2095330847,92026,FAVARA,AG,AGRIGENTO,Ordinaria,"37,31834487","13,67252476"
"Via Cappuccini, 58",Pace G. Di Maurizio Pace,2197750843,92019,SCIACCA,AG,AGRIGENTO,Ordinaria,"37,54354442","13,10280935"
"Via Roma, 24",Arnone Franca,1389230853,93010,SERRADIFALCO,CL,CALTANISSETTA,Ordinaria,"37,4441251","13,95751097"
"Corso Umberto I, 181/183",Centrale-centralfarma Di Drago Calogero E Cosentino Gaetano Snc,1956000853,93100,CALTANISSETTA,CL,CALTANISSETTA,Ordinaria,"37,4891759","14,0631952"
"Via Roma, 80",Di Benedetto Snc Di Di Benedetto Giuseppina E Valeria,1682480858,93018,SANTA CATERINA VILLARMOSA,CL,CALTANISSETTA,Ordinaria,"37,5898663","14,0323146"
"Corso Vittorio Emanuele, 150",Del Corso Del Dr. Iraci Capuccinello Barbara,1417400858,93100,CALTANISSETTA,CL,CALTANISSETTA,Ordinaria,"37,4441251","13,95751097"
"Corso Umberto, 30",Pittari Calogero,79880852,93010,DELIA,CL,CALTANISSETTA,Ordinaria,"37,35320763","13,91936133"
"Via Edmondo De Amicis, 61",Bonasera Vincenzo,59160853,93100,CALTANISSETTA,CL,CALTANISSETTA,Ordinaria,"37,4959694","14,052058"
"Viale Don Bosco, 18",DOTT. VERSO FARMACIE della Dr.ssa Viviana Verso & C. S.n.c.,1806120851,93016,RIESI,CL,CALTANISSETTA,Ordinaria,"37,2798772","14,0840586"
"Via Matteotti, 20",Celestri Della Dr.ssa Rosalia Taranto & C. Snc,1809580853,93011,BUTERA,CL,CALTANISSETTA,Ordinaria,"37,19182523","14,12923834"
"Piazza Europa, 26",Morreale Rosa Maria,1533530851,93010,MONTEDORO,CL,CALTANISSETTA,Ordinaria,"37,45365744","13,82378289"
"Corso Umberto, 5",La Mattina Ignazia,1376540850,93010,CAMPOFRANCO,CL,CALTANISSETTA,Ordinaria,"37,48827047","13,70102274"
"Corso Salvatore Aldisio, 310",Amato Antonino,1443850852,93012,GELA,CL,CALTANISSETTA,Ordinaria,"37,0699581","14,2427681"
"Via Orfanotrofio, 21",Farmacia Catania  Dott. Piero,69410850,93014,MUSSOMELI,CL,CALTANISSETTA,Ordinaria,"37,55613905","13,81682752"
"Via Filippo Paladini, 69",Al Duomo Snc Di Cutrera Domenico & Giamporcaro Mariella Fabiola,1373950854,93100,CALTANISSETTA,CL,CALTANISSETTA,Ordinaria,"37,4441251","13,95751097"
"Piazza S. Giuseppe, 10",Eredi Lanzarotta Franca,1983120856,93013,MAZZARINO,CL,CALTANISSETTA,Ordinaria,"37,26790558","14,24314107"
"Via A. Sciascia, 4 (Vill. S. Barbara)",Pasqualino Della Dr.ssa Fine Alessandra & C. Snc,74560855,93100,CALTANISSETTA,CL,CALTANISSETTA,Ordinaria,"37,4441251","13,95751097"
"Viale Mario Gori, 321",Buscemi Rosa,1606120853,93015,NISCEMI,CL,CALTANISSETTA,Ordinaria,"37,146319","14,394891"
"Via Roma, 43",Volpe M. Concetta,151420858,93013,MAZZARINO,CL,CALTANISSETTA,Ordinaria,"37,26790558","14,24314107"
"Via Castelnuovo, 83",Cucchiara Calogera,1110230859,93010,RESUTTANO,CL,CALTANISSETTA,Ordinaria,"37,68062464","14,05073313"
"Via Cascino, 1/b",Aliotta Anna Maria,1436980856,93012,GELA,CL,CALTANISSETTA,Ordinaria,"37,0699581","14,2427681"
"Via Vittorio Veneto, 172",DOTT. VERSO FARMACIE della Dr.ssa Viviana Verso & C. S.n.c.,1806120851,93016,RIESI,CL,CALTANISSETTA,Ordinaria,"37,2936315","14,08962796"
"Via Cesare Battisti, 14",Dispensario Farmaceutico Dr. Cipolla Valter,370560856,93010,ACQUAVIVA PLATANI,CL,CALTANISSETTA,Dispensario,"37,571744","13,701558"
"Via Giacomo Leopardi, 25/27",Salus Della Dott.ssa Conti Elena Maria & C.,5170670870,95127,CATANIA,CT,CATANIA,Ordinaria,"37,6905726","15,11042574"
"Corso Vittorio Emanuele, 24/26",Sanna F. & C. Snc,205600877,95024,ACIREALE,CT,CATANIA,Ordinaria,"37,63441983","15,16067303"
"Via Vittorio Emanuele, 160",Galluzzo Giacoma di Cuscani Claudia,5430700871,95047,PATERNO',CT,CATANIA,Ordinaria,"37,56706098","14,89962227"
"Via Carrera, 2",Alessi E Palacino S.n.c.,187860879,95043,MILITELLO IN VAL DI CATANIA,CT,CATANIA,Ordinaria,"37,27402837","14,79293298"
"Via Della Concordia, 211",Della Concordia Della Dr.ssa Santangeli Clara,160800876,95121,CATANIA,CT,CATANIA,Ordinaria,"37,4939027","15,0771857"
"Via Carlo Felice Gambino, 52",Del Corso Del Dott. Lo Menzo Francesco,188080873,95131,CATANIA,CT,CATANIA,Ordinaria,"37,50703086","15,08796849"
"Via Umberto, 9",Eredi Dott. De Geronimo Carmelo,202420873,95030,SANT'AGATA LI BATTIATI,CT,CATANIA,Ordinaria,"37,55386175","15,08132036"
"Via Plaia, 97",Zinno,4486150875,95121,CATANIA,CT,CATANIA,Ordinaria,"37,49071759","15,08473421"
"Via Statuto, 255",Tropea Migliore Della Dott.ssa Gabriella Tropea & C. Snc,222850877,95048,SCORDIA,CT,CATANIA,Ordinaria,"37,298047","14,840785"
"Via Vittorio Emanuele, 234",Lavore Della Dott.ssa D'Angelo Giuseppa Agata,5243400875,95047,PATERNO',CT,CATANIA,Ordinaria,"37,56706098","14,89962227"
"Via Duca Degli Abruzzi, 215",Del Transito,187890876,95126,CATANIA,CT,CATANIA,Ordinaria,"37,87869772","14,94500526"
"Piazza S. Agostino, 8",Giada E Giorgia Bua Snc,5189510877,95031,ADRANO,CT,CATANIA,Ordinaria,"37,66350537","14,83461032"
"Viale Guglielmo Marconi, 3/5",Farmacia Del Centro Del Dott. Maccarrone Davide Ezio Srl,4550660874,95030,GRAVINA DI CATANIA,CT,CATANIA,Ordinaria,"37,55482101","15,062748"
"Via Cesare Beccaria, 79",Crocebianca Del Dr. Pantano & Figli Snc,131650871,95123,CATANIA,CT,CATANIA,Ordinaria,"37,5158113","15,078149"
"Via Roma, 311",Russo Venera Daniela,5400890876,95019,ZAFFERANA ETNEA,CT,CATANIA,Ordinaria,"37,69073713","15,10565862"
"Viale Mario Rapisardi, 320",Bellomo G. & S.  Snc,4132000870,95124,CATANIA,CT,CATANIA,Ordinaria,"37,56234256","15,07200301"
"Via Etnea, 400",Farmacia Cerciello Del Dott. Cerciello Fabrizio,8942781215,95128,CATANIA,CT,CATANIA,Ordinaria,"37,61329663","15,02667227"
"Via Dei Platani, 99",Cantarerodei D.ri Cantarero Lorenzo E Paola & C. Snc,4546930878,95023,ACIREALE,CT,CATANIA,Ordinaria,"37,60568222","15,15302614"
Villaggio Sant'Agata Zona B1,Baglio M. Luisa,256520875,95121,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Via VITALIANO BRANCATI, 55",FARMACIA PITTARI SRL,5124840876,95128,CATANIA,CT,CATANIA,Ordinaria,"37,5263289","15,08771923"
"Via Vittorio Emanuele, 196",Frazzetto Maria Stella,235040870,95042,GRAMMICHELE,CT,CATANIA,Ordinaria,"37,22552943","14,61234334"
"Via Etnea, 11",Nicosia Rosa,215110875,95010,MILO,CT,CATANIA,Ordinaria,"37,73513713","15,10294015"
"Via UMBERTO, 54",FARMACIA  CANIGLIA S.R.L.,5093970878,95013,FIUMEFREDDO DI SICILIA,CT,CATANIA,Ordinaria,"37,78860984","15,20698513"
"Via Francesco Crispi, 195",Battiati Marilena,188070874,95131,CATANIA,CT,CATANIA,Ordinaria,"37,50665099","15,09501746"
"Piazza BONADIES, 20",CIBALI DR. SAPUPPO SEBASTIANO,5326470878,95123,CATANIA,CT,CATANIA,Ordinaria,"37,51821112","15,06884651"
"Viale Mario Rapisarda, 349",Panebianco Giustina,4113950879,95123,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Corso Italia, 270",Aquileia Longo Giuseppe Snc,4123090872,95129,CATANIA,CT,CATANIA,Ordinaria,"37,62380835","15,07920155"
"Viale felice fontana, 1",Vittoria della Dott.ssa Bice Cicirata,5159960870,95122,CATANIA,CT,CATANIA,Ordinaria,"37,5125344","15,0384748"
"Via Sebastiano Catania, 198",Marino Sergio,4383250877,95123,CATANIA,CT,CATANIA,Ordinaria,"37,51864259","15,05994491"
"Stradale San Giorgio, 113",Parlato Ivo,4272150873,95121,CATANIA,CT,CATANIA,Ordinaria,"37,49517375","15,0591812"
"Via Via Umberto, 63",Musumeci,4436560876,95040,CAMPOROTONDO ETNEO,CT,CATANIA,Ordinaria,"37,55230844","15,0034093"
"Via Arcoleo, 91",Eredi Dott. Vittorio Traversa,487770877,95041,CALTAGIRONE,CT,CATANIA,Ordinaria,"37,230293","14,52335"
"Via Callipoli, 240",Rapisarda Dei D.ri Maria Antonio E Carmelo Rapisarda Snc,4608800878,95014,GIARRE,CT,CATANIA,Ordinaria,"37,7263946","15,18436"
"Via San D. Savio, 25",San Paolo Snc,600690879,95030,GRAVINA DI CATANIA,CT,CATANIA,Ordinaria,"37,55482101","15,062748"
"Via Giuseppe Garibaldi, 24",Antica Farmacia,599250875,95124,CATANIA,CT,CATANIA,Ordinaria,"37,87589709","14,94407962"
"Via Giuseppe Garibaldi, 380",Condorelli Antonino Fausto,598870871,95045,MISTERBIANCO,CT,CATANIA,Ordinaria,"37,47575611","14,97389962"
"Via Vittorio Emanuele, 16",Ferma Giovanni,702710872,95049,VIZZINI,CT,CATANIA,Ordinaria,"37,16167407","14,75145203"
"Via Umberto, 125",Lucina Della Dott.ssa Scrofani Stefania,3787950876,95129,CATANIA,CT,CATANIA,Ordinaria,"37,82532156","14,86691909"
"Via Petrarca, 11",Fresta Giuliana,5375340873,95047,PATERNO',CT,CATANIA,Ordinaria,"37,53277515","14,85595885"
"Via Passo Gravina, 127",La Cittadella,1805500871,95125,CATANIA,CT,CATANIA,Ordinaria,"37,52164115","15,08217405"
"Via Giuseppe Mazzini, 7",Aiello Alfio,1822430870,95040,RADDUSA,CT,CATANIA,Ordinaria,"37,49371948","14,53394414"
"Via Luigi Sturzo, 34",Mazza Antonino,1959870872,95041,CALTAGIRONE,CT,CATANIA,Ordinaria,"37,238888","14,513193"
"Via Siculo  Orientale, 210",Grasso Elvira,2058570876,95016,MASCALI,CT,CATANIA,Ordinaria,"37,757841","15,196655"
"Via Via Antonio Gramsci, N. 71",FARMACIA  SANT'ANTONIO S.R.L.,5632870878,95030,GRAVINA DI CATANIA,CT,CATANIA,Ordinaria,"37,5651402","15,06425402"
"Via Giovanni Verga, 47",Impellizzeri Sebastiano,1869350874,95024,ACIREALE,CT,CATANIA,Ordinaria,"37,61473634","15,16126946"
"Via Vittorio Emanuele, 146",Vanella Marco,2693090876,95042,GRAMMICHELE,CT,CATANIA,Ordinaria,"37,2136927","14,6374849"
"Piazza San Domenico, 31",Chines,2750440873,95124,CATANIA,CT,CATANIA,Ordinaria,"37,50779581","15,08336814"
"Via San Filippo, 180",Murabito,2826220879,95031,ADRANO,CT,CATANIA,Ordinaria,"37,66530321","14,83306038"
"Via San Gaetano Alle Grotte, 40",Giuffrida Michele,2877890877,95131,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Via Umberto, 271",Rizzo Vincenzo,2970180879,95034,BRONTE,CT,CATANIA,Ordinaria,"37,8270065","14,8670241"
"Via Pidatella, 132",Molina Snc,2952460877,95126,CATANIA,CT,CATANIA,Ordinaria,"37,5257024","15,1007613"
"Viale Mario Rapisardi, 229",Zappala',2992240875,95123,CATANIA,CT,CATANIA,Ordinaria,"37,56234256","15,07200301"
"Via Umberto, 41",Ragusa Vincenzo,3039780873,95043,MILITELLO IN VAL DI CATANIA,CT,CATANIA,Ordinaria,"37,27402837","14,79293298"
"Piazza Umberto I, 8",Famacia Ballaro' Srl,5962410873,95040,SAN CONO,CT,CATANIA,Ordinaria,"37,29119895","14,36552639"
"Via Umberto, 254",Guarnaccia C. & C. Snc,3030770873,95129,CATANIA,CT,CATANIA,Ordinaria,"37,82532156","14,86691909"
"Via Etnea, 79",Motta D. & G. Snc,3015710878,95124,CATANIA,CT,CATANIA,Ordinaria,"37,61329663","15,02667227"
"Piazza Umberto I, 7",FARMACIA CARDIEL S.R.L.,5738390870,95041,CALTAGIRONE,CT,CATANIA,Ordinaria,"37,236952","14,513075"
"Piazza Nettuno, 34",Lo Castro G. & A. Snc,3035560873,95126,CATANIA,CT,CATANIA,Ordinaria,"37,52438576","15,11551217"
"Via Plebiscito, 329",Farmacia San Cristoforo Dr.ssa Tedesco Patrizia,4409760875,95121,CATANIA,CT,CATANIA,Ordinaria,"37,50183933","15,08000976"
"Via Roma, 6",Saporito R. & A. Snc,3038050872,95040,SAN MICHELE DI GANZARIA,CT,CATANIA,Ordinaria,"37,2811155","14,4280042"
"Via Etnea, 212",Pappalardo Claudio,3225970874,95030,MASCALUCIA,CT,CATANIA,Ordinaria,"37,57285481","15,05261918"
"Stradale GELSO BIANCO, 54/A",Farmacia Nicolosi G. & F. snc,2659510875,95100,CATANIA,CT,CATANIA,Ordinaria,"37,4742097","15,0492567"
"Via Marconi, 50",Luppino Giuseppe,3432610875,95012,CASTIGLIONE DI SICILIA,CT,CATANIA,Ordinaria,"37,85593359","15,08380678"
"Viale Della Liberta', 57",Lodi Roberta,3515800872,95129,CATANIA,CT,CATANIA,Ordinaria,"37,6054632","15,1667921"
"Via Galermo, 288/d",Sicilia,3591240878,95131,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Via Giuseppe Garibaldi, 230",Scalia P. & C. Snc,3605180870,95121,CATANIA,CT,CATANIA,Ordinaria,"37,5007219","15,0790551"
"Via Galermo, 270",Zerbo Maria,3626990877,95123,CATANIA,CT,CATANIA,Ordinaria,"37,54345668","15,05393173"
"Via Vittorio Emanuele, 291",Rapisarda Biagino,3172250874,95038,SANTA MARIA DI LICODIA,CT,CATANIA,Ordinaria,"37,61378635","14,89472103"
"Via N. Coviello, 23",Brancato Arturo,4781040821,95030,GRAVINA DI CATANIA,CT,CATANIA,Ordinaria,"37,5184585","15,0899967"
"Piazza Marconi, 4",Leonardi Snc,3596270870,95039,TRECASTAGNI,CT,CATANIA,Ordinaria,"37,61624501","15,07920702"
"Via Roma, 155",Lauria Lucia M. Rita,3728370879,95049,VIZZINI,CT,CATANIA,Ordinaria,"37,18104449","14,77520081"
"Piazza Indipendenza, 17",Distefano  Snc,3713610875,95047,PATERNO',CT,CATANIA,Ordinaria,"37,53277515","14,85595885"
"Via Vittorio Emanuele, 111",Farmacia Gurrisi - La Rosa,5304980872,95049,VIZZINI,CT,CATANIA,Ordinaria,"37,16167407","14,75145203"
"Via Provinciale, 118/a",Patane' Arcangelo,3817820875,95020,ACIREALE,CT,CATANIA,Ordinaria,"37,561202","15,1603709"
"Via Vittorio Emanuele, 184",Bellassai Giovanni,3918960877,95010,SANTA VENERINA,CT,CATANIA,Ordinaria,"37,68481755","15,133073"
"Via Duca Degli Abruzzi, 95",Italia  Sas,2268531205,95127,CATANIA,CT,CATANIA,Ordinaria,"37,87869772","14,94500526"
"Via Messina, 447/e",Li Volsi P. & S. Snc,3924950870,95126,CATANIA,CT,CATANIA,Ordinaria,"37,44220831","15,03582932"
"Piazza Santa Maria Di Gesu', 4",Merlo G. Figli Snc,3976200877,95123,CATANIA,CT,CATANIA,Ordinaria,"37,5115032","15,0791168"
"Via Giuseppe Garibaldi, 328",Plebiscito Snc,3949230878,95122,CATANIA,CT,CATANIA,Ordinaria,"37,5002024","15,0763926"
"Via Vitt. Emanuele, 144",Buttafuoco Campagna,605540863,94011,AGIRA,EN,ENNA,Ordinaria,"37,6021502","14,54684898"
"Via Crisa, 309",Farmacia Pesco Del Dott. Ernesto Pesco & C. Snc,1174330868,94010,ASSORO,EN,ENNA,Ordinaria,"37,6290153","14,4240061"
"Via Conte Ruggero, 5",Fontanazza,1065780866,94010,CALASCIBETTA,EN,ENNA,Ordinaria,"37,5900155","14,272728"
"Via Umberto, 109",Greco Snc,603130865,94010,CENTURIPE,EN,ENNA,Ordinaria,"37,60381843","14,75627043"
"Corso Roma, 43",Occhipinti Antonio,548640861,94010,CERAMI,EN,ENNA,Ordinaria,"37,810654","14,507273"
"Corso Umberto, 24",Eredi Pistone,646050864,94013,LEONFORTE,EN,ENNA,Ordinaria,"37,64475594","14,36552629"
"Corso Umberto, 238",Runfola Giuseppe,358000867,94013,LEONFORTE,EN,ENNA,Ordinaria,"37,64475594","14,36552629"
"Piazza Garibaldi, 32",Eremita Laura,1056950866,94014,NICOSIA,EN,ENNA,Ordinaria,"37,7477137","14,3979388"
Via A. Manzoni,Giusto Lucrezia,1032960864,94015,PIAZZA ARMERINA,EN,ENNA,Ordinaria,"37,48584659","14,32473163"
"Via Guglielmo Marconi, 31-35",L'Antica Farmacia Del Dott. Bonfante Massimo,5473890878,94015,PIAZZA ARMERINA,EN,ENNA,Ordinaria,"37,48584659","14,32473163"
